0.01.116.573 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.04.383.678 I srv  llama_server: model loaded
0.41.662.180 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.23, t =   4.31 s / 950.08 tokens per second
11.53.191.901 I slot print_timing: id  0 | task 6293 | n_gen =   3276, tg =  54.10 t/s, tg_3s =  55.27 t/s
11.56.219.016 I slot print_timing: id  0 | task 6293 | n_gen =   3445, tg =  54.18 t/s, tg_3s =  55.83 t/s
11.59.253.344 I slot print_timing: id  0 | task 6293 | n_gen =   3617, tg =  54.29 t/s, tg_3s =  56.68 t/s
12.02.289.708 I slot print_timing: id  0 | task 6293 | n_gen =   3776, tg =  54.21 t/s, tg_3s =  52.37 t/s
12.05.321.097 I slot print_timing: id  0 | task 6293 | n_gen =   3909, tg =  53.78 t/s, tg_3s =  43.87 t/s
12.08.354.187 I slot print_timing: id  0 | task 6293 | n_gen =   4022, tg =  53.12 t/s, tg_3s =  37.26 t/s
12.10.100.905 I slot print_timing: id  0 | task 6293 | prompt eval time =    1365.88 ms /   557 tokens (    2.45 ms per token,   407.80 tokens per second)
12.10.100.910 I slot print_timing: id  0 | task 6293 |        eval time =   77450.20 ms /  4096 tokens (   18.91 ms per token,    52.87 tokens per second)
12.10.100.912 I slot print_timing: id  0 | task 6293 |       total time =   78816.07 ms /  4653 tokens
12.10.100.914 I slot print_timing: id  0 | task 6293 |    graphs reused =       7294
12.10.100.918 I slot print_timing: id  0 | task 6293 | draft acceptance = 0.84185 ( 2933 accepted /  3484 generated), mean len =  3.52
12.15.658.667 I slot print_timing: id  0 | task 7460 | prompt processing, n_tokens =   4096, progress = 0.79, t =   5.23 s / 783.25 tokens per second
12.18.430.523 I slot print_timing: id  0 | task 7460 | prompt processing, n_tokens =   6144, progress = 0.86, t =   8.00 s / 768.32 tokens per second
12.20.291.867 I slot print_timing: id  0 | task 7460 | prompt processing, n_tokens =   7461, progress = 0.91, t =   9.98 s / 747.62 tokens per second
12.23.292.252 I slot print_timing: id  0 | task 7460 | prompt processing, n_tokens =   9509, progress = 0.98, t =  12.85 s / 740.19 tokens per second
12.23.847.978 I slot print_timing: id  0 | task 7460 | prompt processing, n_tokens =   9865, progress = 0.99, t =  13.56 s / 727.50 tokens per second
12.24.328.745 I slot print_timing: id  0 | task 7460 | prompt processing, n_tokens =  10121, progress = 1.00, t =  14.00 s / 723.10 tokens per second
12.27.693.096 I slot print_timing: id  0 | task 7460 | n_gen =    119, tg =  39.00 t/s, tg_3s =  39.33 t/s
12.30.726.290 I slot print_timing: id  0 | task 7460 | n_gen =    264, tg =  43.41 t/s, tg_3s =  47.80 t/s
12.33.750.328 I slot print_timing: id  0 | task 7460 | n_gen =    385, tg =  42.28 t/s, tg_3s =  40.01 t/s
12.36.784.715 I slot print_timing: id  0 | task 7460 | n_gen =    515, tg =  42.42 t/s, tg_3s =  42.84 t/s
12.39.812.546 I slot print_timing: id  0 | task 7460 | n_gen =    614, tg =  40.47 t/s, tg_3s =  32.70 t/s
12.42.862.925 I slot print_timing: id  0 | task 7460 | n_gen =    734, tg =  40.28 t/s, tg_3s =  39.34 t/s
12.45.908.279 I slot print_timing: id  0 | task 7460 | n_gen =    854, tg =  40.16 t/s, tg_3s =  39.40 t/s
12.48.951.565 I slot print_timing: id  0 | task 7460 | n_gen =    979, tg =  40.27 t/s, tg_3s =  41.07 t/s
12.52.011.264 I slot print_timing: id  0 | task 7460 | n_gen =   1120, tg =  40.92 t/s, tg_3s =  46.08 t/s
12.54.576.964 I slot print_timing: id  0 | task 7460 | prompt eval time =   14469.52 ms / 10125 tokens (    1.43 ms per token,   699.75 tokens per second)
12.54.576.970 I slot print_timing: id  0 | task 7460 |        eval time =   29909.87 ms /  1242 tokens (   24.10 ms per token,    41.49 tokens per second)
12.54.576.972 I slot print_timing: id  0 | task 7460 |       total time =   44379.39 ms / 11367 tokens
12.54.576.975 I slot print_timing: id  0 | task 7460 |    graphs reused =       7711
12.54.576.980 I slot print_timing: id  0 | task 7460 | draft acceptance = 0.64460 (  818 accepted /  1269 generated), mean len =  2.93
12.59.436.545 I slot print_timing: id  0 | task 7892 | prompt processing, n_tokens =   3498, progress = 0.98, t =   4.54 s / 769.83 tokens per second
12.59.774.109 I slot print_timing: id  0 | task 7892 | prompt processing, n_tokens =   3633, progress = 0.99, t =   4.97 s / 730.79 tokens per second
13.00.230.057 I slot print_timing: id  0 | task 7892 | prompt processing, n_tokens =   3889, progress = 1.00, t =   5.38 s / 722.74 tokens per second
13.03.543.260 I slot print_timing: id  0 | task 7892 | n_gen =    151, tg =  49.71 t/s, tg_3s =  50.04 t/s
13.06.564.949 I slot print_timing: id  0 | task 7892 | n_gen =    296, tg =  48.85 t/s, tg_3s =  47.99 t/s
13.09.587.504 I slot print_timing: id  0 | task 7892 | n_gen =    439, tg =  48.33 t/s, tg_3s =  47.31 t/s
13.12.615.290 I slot print_timing: id  0 | task 7892 | n_gen =    591, tg =  48.80 t/s, tg_3s =  50.20 t/s
13.15.654.655 I slot print_timing: id  0 | task 7892 | n_gen =    752, tg =  49.64 t/s, tg_3s =  52.97 t/s
13.18.694.676 I slot print_timing: id  0 | task 7892 | n_gen =    910, tg =  50.03 t/s, tg_3s =  51.97 t/s
13.21.743.581 I slot print_timing: id  0 | task 7892 | n_gen =   1057, tg =  49.77 t/s, tg_3s =  48.21 t/s
13.24.800.455 I slot print_timing: id  0 | task 7892 | n_gen =   1231, tg =  50.67 t/s, tg_3s =  56.92 t/s
13.27.851.219 I slot print_timing: id  0 | task 7892 | n_gen =   1377, tg =  50.36 t/s, tg_3s =  47.86 t/s
13.30.915.178 I slot print_timing: id  0 | task 7892 | n_gen =   1556, tg =  51.17 t/s, tg_3s =  58.42 t/s
13.33.979.517 I slot print_timing: id  0 | task 7892 | n_gen =   1734, tg =  51.80 t/s, tg_3s =  58.09 t/s
13.37.042.687 I slot print_timing: id  0 | task 7892 | n_gen =   1884, tg =  51.56 t/s, tg_3s =  48.97 t/s
13.40.042.768 I slot print_timing: id  0 | task 7892 | n_gen =   2027, tg =  51.27 t/s, tg_3s =  47.67 t/s
13.43.049.077 I slot print_timing: id  0 | task 7892 | n_gen =   2197, tg =  51.64 t/s, tg_3s =  56.55 t/s
13.46.058.303 I slot print_timing: id  0 | task 7892 | n_gen =   2372, tg =  52.07 t/s, tg_3s =  58.15 t/s
13.49.072.809 I slot print_timing: id  0 | task 7892 | n_gen =   2537, tg =  52.24 t/s, tg_3s =  54.74 t/s
13.52.095.028 I slot print_timing: id  0 | task 7892 | n_gen =   2713, tg =  52.59 t/s, tg_3s =  58.24 t/s
13.55.115.757 I slot print_timing: id  0 | task 7892 | n_gen =   2880, tg =  52.74 t/s, tg_3s =  55.28 t/s
13.58.139.188 I slot print_timing: id  0 | task 7892 | n_gen =   3042, tg =  52.78 t/s, tg_3s =  53.58 t/s
14.01.166.548 I slot print_timing: id  0 | task 7892 | n_gen =   3204, tg =  52.82 t/s, tg_3s =  53.51 t/s
14.04.195.873 I slot print_timing: id  0 | task 7892 | n_gen =   3362, tg =  52.79 t/s, tg_3s =  52.16 t/s
14.07.227.958 I slot print_timing: id  0 | task 7892 | n_gen =   3514, tg =  52.67 t/s, tg_3s =  50.13 t/s
14.10.262.466 I slot print_timing: id  0 | task 7892 | n_gen =   3674, tg =  52.67 t/s, tg_3s =  52.73 t/s
14.13.301.251 I slot print_timing: id  0 | task 7892 | n_gen =   3818, tg =  52.45 t/s, tg_3s =  47.39 t/s
14.16.345.283 I slot print_timing: id  0 | task 7892 | n_gen =   3986, tg =  52.56 t/s, tg_3s =  55.19 t/s
14.18.328.057 I slot print_timing: id  0 | task 7892 | prompt eval time =    5804.56 ms /  3893 tokens (    1.49 ms per token,   670.68 tokens per second)
14.18.328.061 I slot print_timing: id  0 | task 7892 |        eval time =   77802.54 ms /  4096 tokens (   19.00 ms per token,    52.63 tokens per second)
14.18.328.062 I slot print_timing: id  0 | task 7892 |       total time =   83607.10 ms /  7989 tokens
14.18.328.065 I slot print_timing: id  0 | task 7892 |    graphs reused =       8834
14.18.328.068 I slot print_timing: id  0 | task 7892 | draft acceptance = 0.86374 ( 2954 accepted /  3420 generated), mean len =  3.59
14.24.061.437 I slot print_timing: id  0 | task 9039 | prompt processing, n_tokens =   4096, progress = 0.83, t =   5.39 s / 759.42 tokens per second
14.24.144.198 I slot print_timing: id  0 | task 9039 | prompt processing, n_tokens =   4125, progress = 0.83, t =   5.69 s / 725.48 tokens per second
14.27.149.300 I slot print_timing: id  0 | task 9039 | prompt processing, n_tokens =   6173, progress = 0.90, t =   8.47 s / 728.81 tokens per second
14.30.063.735 I slot print_timing: id  0 | task 9039 | prompt processing, n_tokens =   8221, progress = 0.96, t =  11.38 s / 722.25 tokens per second
14.31.450.112 I slot print_timing: id  0 | task 9039 | prompt processing, n_tokens =   9156, progress = 0.99, t =  12.86 s / 711.78 tokens per second
14.31.942.987 I slot print_timing: id  0 | task 9039 | prompt processing, n_tokens =   9412, progress = 1.00, t =  13.38 s / 703.65 tokens per second
14.35.306.502 I slot print_timing: id  0 | task 9039 | n_gen =    112, tg =  36.89 t/s, tg_3s =  37.22 t/s
14.38.317.292 I slot print_timing: id  0 | task 9039 | n_gen =    234, tg =  38.70 t/s, tg_3s =  40.52 t/s
14.41.331.240 I slot print_timing: id  0 | task 9039 | n_gen =    352, tg =  38.85 t/s, tg_3s =  39.15 t/s
14.44.346.416 I slot print_timing: id  0 | task 9039 | n_gen =    466, tg =  38.59 t/s, tg_3s =  37.81 t/s
14.47.365.155 I slot print_timing: id  0 | task 9039 | n_gen =    590, tg =  39.09 t/s, tg_3s =  41.08 t/s
14.50.388.006 I slot print_timing: id  0 | task 9039 | n_gen =    711, tg =  39.25 t/s, tg_3s =  40.03 t/s
14.52.787.723 I slot print_timing: id  0 | task 9039 | prompt eval time =   13868.42 ms /  9416 tokens (    1.47 ms per token,   678.95 tokens per second)
14.52.787.728 I slot print_timing: id  0 | task 9039 |        eval time =   20490.31 ms /   811 tokens (   25.30 ms per token,    39.53 tokens per second)
14.52.787.730 I slot print_timing: id  0 | task 9039 |       total time =   34358.73 ms / 10227 tokens
14.52.787.732 I slot print_timing: id  0 | task 9039 |    graphs reused =       9115
14.52.787.736 I slot print_timing: id  0 | task 9039 | draft acceptance = 0.61637 (  527 accepted /   855 generated), mean len =  2.85
14.57.649.625 I slot print_timing: id  0 | task 9333 | prompt processing, n_tokens =   3498, progress = 0.98, t =   4.55 s / 768.71 tokens per second
14.57.986.758 I slot print_timing: id  0 | task 9333 | prompt processing, n_tokens =   3633, progress = 0.99, t =   4.98 s / 729.90 tokens per second
14.58.441.224 I slot print_timing: id  0 | task 9333 | prompt processing, n_tokens =   3889, progress = 1.00, t =   5.39 s / 722.07 tokens per second
15.01.760.765 I slot print_timing: id  0 | task 9333 | n_gen =    142, tg =  46.60 t/s, tg_3s =  46.93 t/s
15.04.795.542 I slot print_timing: id  0 | task 9333 | n_gen =    301, tg =  49.50 t/s, tg_3s =  52.39 t/s
15.07.835.518 I slot print_timing: id  0 | task 9333 | n_gen =    473, tg =  51.87 t/s, tg_3s =  56.58 t/s
15.10.871.100 I slot print_timing: id  0 | task 9333 | n_gen =    620, tg =  51.01 t/s, tg_3s =  48.43 t/s
15.13.909.447 I slot print_timing: id  0 | task 9333 | n_gen =    776, tg =  51.07 t/s, tg_3s =  51.34 t/s
15.16.952.606 I slot print_timing: id  0 | task 9333 | n_gen =    921, tg =  50.50 t/s, tg_3s =  47.65 t/s
15.20.002.919 I slot print_timing: id  0 | task 9333 | n_gen =   1080, tg =  50.73 t/s, tg_3s =  52.13 t/s
15.23.056.103 I slot print_timing: id  0 | task 9333 | n_gen =   1235, tg =  50.74 t/s, tg_3s =  50.77 t/s
15.26.112.506 I slot print_timing: id  0 | task 9333 | n_gen =   1396, tg =  50.95 t/s, tg_3s =  52.68 t/s
15.29.169.547 I slot print_timing: id  0 | task 9333 | n_gen =   1538, tg =  50.50 t/s, tg_3s =  46.45 t/s
15.32.235.405 I slot print_timing: id  0 | task 9333 | n_gen =   1710, tg =  51.01 t/s, tg_3s =  56.10 t/s
15.35.235.827 I slot print_timing: id  0 | task 9333 | n_gen =   1872, tg =  51.26 t/s, tg_3s =  53.99 t/s
15.38.303.164 I slot print_timing: id  0 | task 9333 | n_gen =   2009, tg =  50.75 t/s, tg_3s =  44.66 t/s
15.41.370.155 I slot print_timing: id  0 | task 9333 | n_gen =   2153, tg =  50.47 t/s, tg_3s =  46.95 t/s
15.44.376.825 I slot print_timing: id  0 | task 9333 | n_gen =   2312, tg =  50.63 t/s, tg_3s =  52.88 t/s
15.47.390.491 I slot print_timing: id  0 | task 9333 | n_gen =   2485, tg =  51.05 t/s, tg_3s =  57.41 t/s
15.50.409.367 I slot print_timing: id  0 | task 9333 | n_gen =   2656, tg =  51.38 t/s, tg_3s =  56.64 t/s
15.53.429.533 I slot print_timing: id  0 | task 9333 | n_gen =   2829, tg =  51.71 t/s, tg_3s =  57.28 t/s
15.56.457.621 I slot print_timing: id  0 | task 9333 | n_gen =   2997, tg =  51.90 t/s, tg_3s =  55.48 t/s
15.59.480.862 I slot print_timing: id  0 | task 9333 | n_gen =   3155, tg =  51.92 t/s, tg_3s =  52.26 t/s
16.02.514.160 I slot print_timing: id  0 | task 9333 | n_gen =   3328, tg =  52.16 t/s, tg_3s =  57.03 t/s
16.05.546.141 I slot print_timing: id  0 | task 9333 | n_gen =   3491, tg =  52.24 t/s, tg_3s =  53.76 t/s
16.08.578.710 I slot print_timing: id  0 | task 9333 | n_gen =   3647, tg =  52.20 t/s, tg_3s =  51.44 t/s
16.11.620.214 I slot print_timing: id  0 | task 9333 | n_gen =   3810, tg =  52.26 t/s, tg_3s =  53.59 t/s
16.14.667.600 I slot print_timing: id  0 | task 9333 | n_gen =   3982, tg =  52.43 t/s, tg_3s =  56.44 t/s
16.16.948.731 I slot print_timing: id  0 | task 9333 | prompt eval time =    5807.17 ms /  3893 tokens (    1.49 ms per token,   670.38 tokens per second)
16.16.948.737 I slot print_timing: id  0 | task 9333 |        eval time =   78213.64 ms /  4096 tokens (   19.10 ms per token,    52.36 tokens per second)
16.16.948.738 I slot print_timing: id  0 | task 9333 |       total time =   84020.82 ms /  7989 tokens
16.16.948.740 I slot print_timing: id  0 | task 9333 |    graphs reused =      10243
16.16.948.744 I slot print_timing: id  0 | task 9333 | draft acceptance = 0.85802 ( 2949 accepted /  3437 generated), mean len =  3.57
16.17.030.525 E srv    send_error: task id = 10485, error: request (32959 tokens) exceeds the available context size (32768 tokens), try increasing it
16.22.741.044 I slot print_timing: id  0 | task 10488 | prompt processing, n_tokens =   4096, progress = 0.82, t =   5.39 s / 759.44 tokens per second
16.25.597.808 I slot print_timing: id  0 | task 10488 | prompt processing, n_tokens =   6144, progress = 0.88, t =   8.24 s / 745.29 tokens per second
16.28.506.169 I slot print_timing: id  0 | task 10488 | prompt processing, n_tokens =   8192, progress = 0.95, t =  11.15 s / 734.94 tokens per second
16.30.352.462 I slot print_timing: id  0 | task 10488 | prompt processing, n_tokens =   9411, progress = 0.99, t =  13.04 s / 721.82 tokens per second
16.30.734.299 I slot print_timing: id  0 | task 10488 | prompt processing, n_tokens =   9546, progress = 0.99, t =  13.54 s / 705.11 tokens per second
16.31.228.063 I slot print_timing: id  0 | task 10488 | prompt processing, n_tokens =   9802, progress = 1.00, t =  13.98 s / 701.10 tokens per second
16.34.597.491 I slot print_timing: id  0 | task 10488 | n_gen =    108, tg =  35.52 t/s, tg_3s =  35.85 t/s
16.37.611.409 I slot print_timing: id  0 | task 10488 | n_gen =    218, tg =  36.01 t/s, tg_3s =  36.50 t/s
16.40.624.748 I slot print_timing: id  0 | task 10488 | n_gen =    307, tg =  33.85 t/s, tg_3s =  29.54 t/s
16.43.640.200 I slot print_timing: id  0 | task 10488 | n_gen =    404, tg =  33.43 t/s, tg_3s =  32.17 t/s
16.46.658.783 I slot print_timing: id  0 | task 10488 | n_gen =    491, tg =  32.51 t/s, tg_3s =  28.82 t/s
16.49.677.458 I slot print_timing: id  0 | task 10488 | n_gen =    596, tg =  32.89 t/s, tg_3s =  34.78 t/s
16.52.705.206 I slot print_timing: id  0 | task 10488 | n_gen =    758, tg =  35.84 t/s, tg_3s =  53.51 t/s
16.55.736.447 I slot print_timing: id  0 | task 10488 | n_gen =    893, tg =  36.93 t/s, tg_3s =  44.54 t/s
16.57.368.184 I slot print_timing: id  0 | task 10488 | prompt eval time =   14476.60 ms /  9806 tokens (    1.48 ms per token,   677.37 tokens per second)
16.57.368.188 I slot print_timing: id  0 | task 10488 |        eval time =   25783.39 ms /   959 tokens (   26.91 ms per token,    37.16 tokens per second)
16.57.368.189 I slot print_timing: id  0 | task 10488 |       total time =   40259.99 ms / 10765 tokens
16.57.368.191 I slot print_timing: id  0 | task 10488 |    graphs reused =      10597
16.57.368.196 I slot print_timing: id  0 | task 10488 | draft acceptance = 0.55773 (  599 accepted /  1074 generated), mean len =  2.67
