0.00.251.880 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.00.605.102 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.00.605.106 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.00.610.381 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.00.610.886 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.00.613.013 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.00.630.907 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.00.630.910 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.00.631.546 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.00.631.549 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15099 + (14931 = 13061 +    1686 +     184) +      -14181 |
0.00.631.551 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.00.724.514 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.01.068.339 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.01.068.341 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.01.072.221 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.01.072.483 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.01.083.246 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.01.083.249 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.01.083.449 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.01.083.451 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15699 + (13313 = 13061 +      68 +     184) +      -13163 |
0.01.083.453 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.01.131.110 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.01.168.825 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.02.045.248 I load_tensors:   CPU_Mapped model buffer size =   521.00 MiB
0.02.045.249 I load_tensors:        CUDA0 model buffer size = 13061.10 MiB
0.04.219.139 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.219.662 I llama_kv_cache:      CUDA0 KV buffer size =  1088.00 MiB
0.04.224.144 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.04.265.136 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.265.141 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.349.761 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.350.984 I llama_kv_cache:      CUDA0 KV buffer size =    68.00 MiB
0.04.378.598 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.378.602 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.447.152 I spec common_specu: adding speculative implementation 'draft-mtp'
0.04.447.158 I spec common_specu: - n_max=3, n_min=0, p_min=0.00, n_embd=5120, backend_sampling=1
0.04.447.161 I spec common_specu: - gpu_layers=0, cache_k=q8_0, cache_v=q8_0, ctx_tgt=yes, ctx_dft=yes, devices=[default]
0.04.475.586 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.475.590 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.491.469 I srv  llama_server: model loaded
3.03.110.217 D spec common_specu: called impl draft-mtp, hist size = 39, call_count = 1, gen = 3
7.10.098.553 D spec common_specu: called impl draft-mtp, hist size = 18055, call_count = 196, gen = 3
7.10.163.993 D spec common_specu: called impl draft-mtp, hist size = 18059, call_count = 197, gen = 3
7.10.229.282 D spec common_specu: called impl draft-mtp, hist size = 18063, call_count = 198, gen = 3
7.10.295.527 D spec common_specu: called impl draft-mtp, hist size = 18067, call_count = 199, gen = 3
7.10.360.652 D spec common_specu: called impl draft-mtp, hist size = 18071, call_count = 200, gen = 3
7.10.427.293 D spec common_specu: called impl draft-mtp, hist size = 18075, call_count = 201, gen = 3
7.10.492.782 D spec common_specu: called impl draft-mtp, hist size = 18079, call_count = 202, gen = 3
7.10.557.701 D spec common_specu: called impl draft-mtp, hist size = 18083, call_count = 203, gen = 3
7.10.624.298 D spec common_specu: called impl draft-mtp, hist size = 18087, call_count = 204, gen = 3
7.10.689.150 D spec common_specu: called impl draft-mtp, hist size = 18091, call_count = 205, gen = 3
7.10.754.130 D spec common_specu: called impl draft-mtp, hist size = 18095, call_count = 206, gen = 3
7.10.820.131 D spec common_specu: called impl draft-mtp, hist size = 18099, call_count = 207, gen = 3
7.10.885.221 D spec common_specu: called impl draft-mtp, hist size = 18103, call_count = 208, gen = 3
7.10.951.294 D spec common_specu: called impl draft-mtp, hist size = 18107, call_count = 209, gen = 3
7.11.017.650 D spec common_specu: called impl draft-mtp, hist size = 18111, call_count = 210, gen = 3
7.11.083.028 D spec common_specu: called impl draft-mtp, hist size = 18115, call_count = 211, gen = 3
7.11.148.171 D spec common_specu: called impl draft-mtp, hist size = 18119, call_count = 212, gen = 3
7.11.213.899 D spec common_specu: called impl draft-mtp, hist size = 18123, call_count = 213, gen = 3
7.11.279.351 D spec common_specu: called impl draft-mtp, hist size = 18127, call_count = 214, gen = 3
7.11.345.406 D spec common_specu: called impl draft-mtp, hist size = 18131, call_count = 215, gen = 3
7.11.411.131 D spec common_specu: called impl draft-mtp, hist size = 18135, call_count = 216, gen = 3
7.11.477.675 D spec common_specu: called impl draft-mtp, hist size = 18139, call_count = 217, gen = 3
7.11.543.755 D spec common_specu: called impl draft-mtp, hist size = 18143, call_count = 218, gen = 3
7.11.609.514 D spec common_specu: called impl draft-mtp, hist size = 18147, call_count = 219, gen = 3
7.11.675.407 D spec common_specu: called impl draft-mtp, hist size = 18151, call_count = 220, gen = 3
7.11.740.768 D spec common_specu: called impl draft-mtp, hist size = 18155, call_count = 221, gen = 3
7.11.805.480 D spec common_specu: called impl draft-mtp, hist size = 18159, call_count = 222, gen = 3
7.11.870.426 D spec common_specu: called impl draft-mtp, hist size = 18163, call_count = 223, gen = 3
7.11.935.279 D spec common_specu: called impl draft-mtp, hist size = 18167, call_count = 224, gen = 3
7.12.000.369 D spec common_specu: called impl draft-mtp, hist size = 18171, call_count = 225, gen = 3
7.12.066.440 D spec common_specu: called impl draft-mtp, hist size = 18175, call_count = 226, gen = 3
7.12.134.558 D spec common_specu: called impl draft-mtp, hist size = 18179, call_count = 227, gen = 3
7.12.207.885 D spec common_specu: called impl draft-mtp, hist size = 18183, call_count = 228, gen = 3
7.12.275.139 D spec common_specu: called impl draft-mtp, hist size = 18187, call_count = 229, gen = 3
7.12.340.451 D spec common_specu: called impl draft-mtp, hist size = 18191, call_count = 230, gen = 3
7.12.394.157 I slot print_timing: id  0 | task 49 | n_gen =    697, tg =  57.76 t/s, tg_3s =  60.46 t/s
7.12.405.134 D spec common_specu: called impl draft-mtp, hist size = 18195, call_count = 231, gen = 3
7.12.471.354 D spec common_specu: called impl draft-mtp, hist size = 18199, call_count = 232, gen = 3
7.12.537.125 D spec common_specu: called impl draft-mtp, hist size = 18203, call_count = 233, gen = 3
7.12.602.590 D spec common_specu: called impl draft-mtp, hist size = 18207, call_count = 234, gen = 3
7.12.667.872 D spec common_specu: called impl draft-mtp, hist size = 18211, call_count = 235, gen = 3
7.12.733.423 D spec common_specu: called impl draft-mtp, hist size = 18215, call_count = 236, gen = 3
7.12.798.176 D spec common_specu: called impl draft-mtp, hist size = 18219, call_count = 237, gen = 3
7.12.864.809 D spec common_specu: called impl draft-mtp, hist size = 18223, call_count = 238, gen = 3
7.12.929.582 D spec common_specu: called impl draft-mtp, hist size = 18227, call_count = 239, gen = 3
7.12.994.867 D spec common_specu: called impl draft-mtp, hist size = 18231, call_count = 240, gen = 3
7.13.060.493 D spec common_specu: called impl draft-mtp, hist size = 18235, call_count = 241, gen = 3
7.13.125.331 D spec common_specu: called impl draft-mtp, hist size = 18239, call_count = 242, gen = 3
7.13.190.576 D spec common_specu: called impl draft-mtp, hist size = 18242, call_count = 243, gen = 3
7.13.255.877 D spec common_specu: called impl draft-mtp, hist size = 18246, call_count = 244, gen = 3
7.13.320.719 D spec common_specu: called impl draft-mtp, hist size = 18250, call_count = 245, gen = 3
7.13.386.243 D spec common_specu: called impl draft-mtp, hist size = 18254, call_count = 246, gen = 3
7.13.451.269 D spec common_specu: called impl draft-mtp, hist size = 18258, call_count = 247, gen = 3
7.13.516.179 D spec common_specu: called impl draft-mtp, hist size = 18262, call_count = 248, gen = 3
7.13.581.378 D spec common_specu: called impl draft-mtp, hist size = 18266, call_count = 249, gen = 3
7.13.646.434 D spec common_specu: called impl draft-mtp, hist size = 18270, call_count = 250, gen = 3
7.13.711.560 D spec common_specu: called impl draft-mtp, hist size = 18274, call_count = 251, gen = 3
7.13.776.784 D spec common_specu: called impl draft-mtp, hist size = 18278, call_count = 252, gen = 3
7.13.842.786 D spec common_specu: called impl draft-mtp, hist size = 18282, call_count = 253, gen = 3
7.13.908.015 D spec common_specu: called impl draft-mtp, hist size = 18286, call_count = 254, gen = 3
7.13.973.525 D spec common_specu: called impl draft-mtp, hist size = 18290, call_count = 255, gen = 3
7.14.038.977 D spec common_specu: called impl draft-mtp, hist size = 18294, call_count = 256, gen = 3
7.14.104.638 D spec common_specu: called impl draft-mtp, hist size = 18298, call_count = 257, gen = 3
7.14.169.613 D spec common_specu: called impl draft-mtp, hist size = 18302, call_count = 258, gen = 3
7.14.235.241 D spec common_specu: called impl draft-mtp, hist size = 18306, call_count = 259, gen = 3
7.14.299.663 D spec common_specu: called impl draft-mtp, hist size = 18310, call_count = 260, gen = 3
7.14.364.607 D spec common_specu: called impl draft-mtp, hist size = 18314, call_count = 261, gen = 3
7.14.429.756 D spec common_specu: called impl draft-mtp, hist size = 18318, call_count = 262, gen = 3
7.14.496.362 D spec common_specu: called impl draft-mtp, hist size = 18322, call_count = 263, gen = 3
7.14.561.616 D spec common_specu: called impl draft-mtp, hist size = 18326, call_count = 264, gen = 3
7.14.627.417 D spec common_specu: called impl draft-mtp, hist size = 18330, call_count = 265, gen = 3
7.14.693.150 D spec common_specu: called impl draft-mtp, hist size = 18334, call_count = 266, gen = 3
7.14.759.288 D spec common_specu: called impl draft-mtp, hist size = 18338, call_count = 267, gen = 3
7.14.824.939 D spec common_specu: called impl draft-mtp, hist size = 18342, call_count = 268, gen = 3
7.14.891.812 D spec common_specu: called impl draft-mtp, hist size = 18346, call_count = 269, gen = 3
7.14.958.458 D spec common_specu: called impl draft-mtp, hist size = 18350, call_count = 270, gen = 3
7.15.024.668 D spec common_specu: called impl draft-mtp, hist size = 18354, call_count = 271, gen = 3
7.15.092.245 D spec common_specu: called impl draft-mtp, hist size = 18358, call_count = 272, gen = 3
7.15.159.279 D spec common_specu: called impl draft-mtp, hist size = 18362, call_count = 273, gen = 3
7.15.224.931 D spec common_specu: called impl draft-mtp, hist size = 18366, call_count = 274, gen = 3
7.15.292.272 D spec common_specu: called impl draft-mtp, hist size = 18370, call_count = 275, gen = 3
7.15.358.187 D spec common_specu: called impl draft-mtp, hist size = 18374, call_count = 276, gen = 3
7.15.413.354 I slot print_timing: id  0 | task 49 | n_gen =    880, tg =  58.33 t/s, tg_3s =  60.61 t/s
7.15.424.541 D spec common_specu: called impl draft-mtp, hist size = 18378, call_count = 277, gen = 3
7.15.492.086 D spec common_specu: called impl draft-mtp, hist size = 18382, call_count = 278, gen = 3
7.15.558.139 D spec common_specu: called impl draft-mtp, hist size = 18386, call_count = 279, gen = 3
7.15.624.466 D spec common_specu: called impl draft-mtp, hist size = 18390, call_count = 280, gen = 3
7.15.689.622 D spec common_specu: called impl draft-mtp, hist size = 18394, call_count = 281, gen = 3
7.15.755.272 D spec common_specu: called impl draft-mtp, hist size = 18398, call_count = 282, gen = 3
7.15.820.797 D spec common_specu: called impl draft-mtp, hist size = 18402, call_count = 283, gen = 3
7.15.886.856 D spec common_specu: called impl draft-mtp, hist size = 18406, call_count = 284, gen = 3
7.15.951.915 D spec common_specu: called impl draft-mtp, hist size = 18410, call_count = 285, gen = 3
7.16.017.021 D spec common_specu: called impl draft-mtp, hist size = 18414, call_count = 286, gen = 3
7.16.082.383 D spec common_specu: called impl draft-mtp, hist size = 18418, call_count = 287, gen = 3
7.16.147.483 D spec common_specu: called impl draft-mtp, hist size = 18422, call_count = 288, gen = 3
7.16.212.976 D spec common_specu: called impl draft-mtp, hist size = 18426, call_count = 289, gen = 3
7.16.278.522 D spec common_specu: called impl draft-mtp, hist size = 18430, call_count = 290, gen = 3
7.16.347.792 D spec common_specu: called impl draft-mtp, hist size = 18434, call_count = 291, gen = 3
7.16.419.752 D spec common_specu: called impl draft-mtp, hist size = 18438, call_count = 292, gen = 3
7.16.485.707 D spec common_specu: called impl draft-mtp, hist size = 18442, call_count = 293, gen = 3
7.16.550.696 D spec common_specu: called impl draft-mtp, hist size = 18446, call_count = 294, gen = 3
7.16.615.433 D spec common_specu: called impl draft-mtp, hist size = 18450, call_count = 295, gen = 3
7.16.680.298 D spec common_specu: called impl draft-mtp, hist size = 18454, call_count = 296, gen = 3
7.16.745.281 D spec common_specu: called impl draft-mtp, hist size = 18458, call_count = 297, gen = 3
7.16.811.263 D spec common_specu: called impl draft-mtp, hist size = 18462, call_count = 298, gen = 3
7.16.876.174 D spec common_specu: called impl draft-mtp, hist size = 18466, call_count = 299, gen = 3
7.16.941.654 D spec common_specu: called impl draft-mtp, hist size = 18470, call_count = 300, gen = 3
7.17.007.309 D spec common_specu: called impl draft-mtp, hist size = 18474, call_count = 301, gen = 3
7.17.072.257 D spec common_specu: called impl draft-mtp, hist size = 18478, call_count = 302, gen = 3
7.17.137.981 D spec common_specu: called impl draft-mtp, hist size = 18482, call_count = 303, gen = 3
7.17.203.062 D spec common_specu: called impl draft-mtp, hist size = 18486, call_count = 304, gen = 3
7.17.269.174 D spec common_specu: called impl draft-mtp, hist size = 18490, call_count = 305, gen = 3
7.17.334.263 D spec common_specu: called impl draft-mtp, hist size = 18494, call_count = 306, gen = 3
7.17.399.484 D spec common_specu: called impl draft-mtp, hist size = 18498, call_count = 307, gen = 3
7.17.465.156 D spec common_specu: called impl draft-mtp, hist size = 18502, call_count = 308, gen = 3
7.17.531.600 D spec common_specu: called impl draft-mtp, hist size = 18506, call_count = 309, gen = 3
7.17.597.181 D spec common_specu: called impl draft-mtp, hist size = 18510, call_count = 310, gen = 3
7.17.662.902 D spec common_specu: called impl draft-mtp, hist size = 18514, call_count = 311, gen = 3
7.17.730.304 D spec common_specu: called impl draft-mtp, hist size = 18518, call_count = 312, gen = 3
7.17.796.075 D spec common_specu: called impl draft-mtp, hist size = 18522, call_count = 313, gen = 3
7.17.861.487 D spec common_specu: called impl draft-mtp, hist size = 18526, call_count = 314, gen = 3
7.17.929.354 D spec common_specu: called impl draft-mtp, hist size = 18530, call_count = 315, gen = 3
7.17.995.119 D spec common_specu: called impl draft-mtp, hist size = 18534, call_count = 316, gen = 3
7.18.060.469 D spec common_specu: called impl draft-mtp, hist size = 18538, call_count = 317, gen = 3
7.18.128.179 D spec common_specu: called impl draft-mtp, hist size = 18542, call_count = 318, gen = 3
7.18.194.682 D spec common_specu: called impl draft-mtp, hist size = 18546, call_count = 319, gen = 3
7.18.259.932 D spec common_specu: called impl draft-mtp, hist size = 18550, call_count = 320, gen = 3
7.18.327.635 D spec common_specu: called impl draft-mtp, hist size = 18554, call_count = 321, gen = 3
7.18.393.949 D spec common_specu: called impl draft-mtp, hist size = 18558, call_count = 322, gen = 3
7.18.448.617 I slot print_timing: id  0 | task 49 | n_gen =   1064, tg =  58.71 t/s, tg_3s =  60.62 t/s
7.18.459.682 D spec common_specu: called impl draft-mtp, hist size = 18562, call_count = 323, gen = 3
7.18.525.817 D spec common_specu: called impl draft-mtp, hist size = 18566, call_count = 324, gen = 3
7.18.591.615 D spec common_specu: called impl draft-mtp, hist size = 18570, call_count = 325, gen = 3
7.18.656.967 D spec common_specu: called impl draft-mtp, hist size = 18574, call_count = 326, gen = 3
7.18.722.264 D spec common_specu: called impl draft-mtp, hist size = 18578, call_count = 327, gen = 3
7.18.787.556 D spec common_specu: called impl draft-mtp, hist size = 18582, call_count = 328, gen = 3
7.18.852.981 D spec common_specu: called impl draft-mtp, hist size = 18586, call_count = 329, gen = 3
7.18.917.920 D spec common_specu: called impl draft-mtp, hist size = 18590, call_count = 330, gen = 3
7.18.984.674 D spec common_specu: called impl draft-mtp, hist size = 18594, call_count = 331, gen = 3
7.19.049.950 D spec common_specu: called impl draft-mtp, hist size = 18598, call_count = 332, gen = 3
7.19.115.245 D spec common_specu: called impl draft-mtp, hist size = 18602, call_count = 333, gen = 3
7.19.180.424 D spec common_specu: called impl draft-mtp, hist size = 18606, call_count = 334, gen = 3
7.19.245.664 D spec common_specu: called impl draft-mtp, hist size = 18610, call_count = 335, gen = 3
7.19.310.883 D spec common_specu: called impl draft-mtp, hist size = 18614, call_count = 336, gen = 3
7.19.376.365 D spec common_specu: called impl draft-mtp, hist size = 18618, call_count = 337, gen = 3
7.19.441.729 D spec common_specu: called impl draft-mtp, hist size = 18622, call_count = 338, gen = 3
7.19.507.657 D spec common_specu: called impl draft-mtp, hist size = 18626, call_count = 339, gen = 3
7.19.574.455 D spec common_specu: called impl draft-mtp, hist size = 18630, call_count = 340, gen = 3
7.19.640.266 D spec common_specu: called impl draft-mtp, hist size = 18634, call_count = 341, gen = 3
7.19.706.128 D spec common_specu: called impl draft-mtp, hist size = 18638, call_count = 342, gen = 3
7.19.771.553 D spec common_specu: called impl draft-mtp, hist size = 18642, call_count = 343, gen = 3
7.19.837.037 D spec common_specu: called impl draft-mtp, hist size = 18646, call_count = 344, gen = 3
7.19.902.733 D spec common_specu: called impl draft-mtp, hist size = 18650, call_count = 345, gen = 3
7.19.967.112 D spec common_specu: called impl draft-mtp, hist size = 18652, call_count = 346, gen = 3
7.20.032.408 D spec common_specu: called impl draft-mtp, hist size = 18656, call_count = 347, gen = 3
7.20.098.431 D spec common_specu: called impl draft-mtp, hist size = 18660, call_count = 348, gen = 3
7.20.163.558 D spec common_specu: called impl draft-mtp, hist size = 18664, call_count = 349, gen = 3
7.20.228.832 D spec common_specu: called impl draft-mtp, hist size = 18668, call_count = 350, gen = 3
7.20.294.090 D spec common_specu: called impl draft-mtp, hist size = 18672, call_count = 351, gen = 3
7.20.359.375 D spec common_specu: called impl draft-mtp, hist size = 18676, call_count = 352, gen = 3
7.20.424.873 D spec common_specu: called impl draft-mtp, hist size = 18680, call_count = 353, gen = 3
7.20.490.065 D spec common_specu: called impl draft-mtp, hist size = 18684, call_count = 354, gen = 3
7.20.555.324 D spec common_specu: called impl draft-mtp, hist size = 18688, call_count = 355, gen = 3
7.20.624.166 D spec common_specu: called impl draft-mtp, hist size = 18692, call_count = 356, gen = 3
7.20.695.353 D spec common_specu: called impl draft-mtp, hist size = 18696, call_count = 357, gen = 3
7.20.760.333 D spec common_specu: called impl draft-mtp, hist size = 18700, call_count = 358, gen = 3
7.20.825.688 D spec common_specu: called impl draft-mtp, hist size = 18704, call_count = 359, gen = 3
7.20.890.694 D spec common_specu: called impl draft-mtp, hist size = 18708, call_count = 360, gen = 3
7.20.956.651 D spec common_specu: called impl draft-mtp, hist size = 18712, call_count = 361, gen = 3
7.21.023.187 D spec common_specu: called impl draft-mtp, hist size = 18716, call_count = 362, gen = 3
7.21.088.729 D spec common_specu: called impl draft-mtp, hist size = 18720, call_count = 363, gen = 3
7.21.155.150 D spec common_specu: called impl draft-mtp, hist size = 18724, call_count = 364, gen = 3
7.21.221.201 D spec common_specu: called impl draft-mtp, hist size = 18728, call_count = 365, gen = 3
7.21.286.722 D spec common_specu: called impl draft-mtp, hist size = 18732, call_count = 366, gen = 3
7.21.352.386 D spec common_specu: called impl draft-mtp, hist size = 18736, call_count = 367, gen = 3
7.21.417.669 D spec common_specu: called impl draft-mtp, hist size = 18740, call_count = 368, gen = 3
7.21.472.999 I slot print_timing: id  0 | task 49 | n_gen =   1246, tg =  58.92 t/s, tg_3s =  60.18 t/s
7.21.483.993 D spec common_specu: called impl draft-mtp, hist size = 18744, call_count = 369, gen = 3
7.21.549.050 D spec common_specu: called impl draft-mtp, hist size = 18748, call_count = 370, gen = 3
7.21.614.669 D spec common_specu: called impl draft-mtp, hist size = 18752, call_count = 371, gen = 3
7.21.679.832 D spec common_specu: called impl draft-mtp, hist size = 18756, call_count = 372, gen = 3
7.21.745.930 D spec common_specu: called impl draft-mtp, hist size = 18760, call_count = 373, gen = 3
7.21.811.581 D spec common_specu: called impl draft-mtp, hist size = 18764, call_count = 374, gen = 3
7.21.877.614 D spec common_specu: called impl draft-mtp, hist size = 18768, call_count = 375, gen = 3
7.21.944.645 D spec common_specu: called impl draft-mtp, hist size = 18772, call_count = 376, gen = 3
7.22.010.734 D spec common_specu: called impl draft-mtp, hist size = 18776, call_count = 377, gen = 3
7.22.076.327 D spec common_specu: called impl draft-mtp, hist size = 18780, call_count = 378, gen = 3
7.22.141.934 D spec common_specu: called impl draft-mtp, hist size = 18784, call_count = 379, gen = 3
7.22.207.568 D spec common_specu: called impl draft-mtp, hist size = 18788, call_count = 380, gen = 3
7.22.273.763 D spec common_specu: called impl draft-mtp, hist size = 18792, call_count = 381, gen = 3
7.22.339.829 D spec common_specu: called impl draft-mtp, hist size = 18796, call_count = 382, gen = 3
7.22.405.564 D spec common_specu: called impl draft-mtp, hist size = 18800, call_count = 383, gen = 3
7.22.472.815 D spec common_specu: called impl draft-mtp, hist size = 18804, call_count = 384, gen = 3
7.22.538.756 D spec common_specu: called impl draft-mtp, hist size = 18808, call_count = 385, gen = 3
7.22.604.366 D spec common_specu: called impl draft-mtp, hist size = 18812, call_count = 386, gen = 3
7.22.669.808 D spec common_specu: called impl draft-mtp, hist size = 18816, call_count = 387, gen = 3
7.22.735.410 D spec common_specu: called impl draft-mtp, hist size = 18820, call_count = 388, gen = 3
7.22.801.641 D spec common_specu: called impl draft-mtp, hist size = 18824, call_count = 389, gen = 3
7.22.867.320 D spec common_specu: called impl draft-mtp, hist size = 18828, call_count = 390, gen = 3
7.22.932.646 D spec common_specu: called impl draft-mtp, hist size = 18832, call_count = 391, gen = 3
7.22.998.868 D spec common_specu: called impl draft-mtp, hist size = 18836, call_count = 392, gen = 3
7.23.064.296 D spec common_specu: called impl draft-mtp, hist size = 18840, call_count = 393, gen = 3
7.23.129.697 D spec common_specu: called impl draft-mtp, hist size = 18844, call_count = 394, gen = 3
7.23.195.196 D spec common_specu: called impl draft-mtp, hist size = 18848, call_count = 395, gen = 3
7.23.260.494 D spec common_specu: called impl draft-mtp, hist size = 18852, call_count = 396, gen = 3
7.23.325.977 D spec common_specu: called impl draft-mtp, hist size = 18856, call_count = 397, gen = 3
7.23.391.150 D spec common_specu: called impl draft-mtp, hist size = 18860, call_count = 398, gen = 3
7.23.456.720 D spec common_specu: called impl draft-mtp, hist size = 18864, call_count = 399, gen = 3
7.23.522.739 D spec common_specu: called impl draft-mtp, hist size = 18868, call_count = 400, gen = 3
7.23.588.481 D spec common_specu: called impl draft-mtp, hist size = 18872, call_count = 401, gen = 3
7.23.653.805 D spec common_specu: called impl draft-mtp, hist size = 18876, call_count = 402, gen = 3
7.23.719.100 D spec common_specu: called impl draft-mtp, hist size = 18880, call_count = 403, gen = 3
7.23.784.508 D spec common_specu: called impl draft-mtp, hist size = 18884, call_count = 404, gen = 3
7.23.850.145 D spec common_specu: called impl draft-mtp, hist size = 18888, call_count = 405, gen = 3
7.23.915.106 D spec common_specu: called impl draft-mtp, hist size = 18891, call_count = 406, gen = 3
7.23.981.666 D spec common_specu: called impl draft-mtp, hist size = 18895, call_count = 407, gen = 3
7.24.048.297 D spec common_specu: called impl draft-mtp, hist size = 18899, call_count = 408, gen = 3
7.24.113.473 D spec common_specu: called impl draft-mtp, hist size = 18903, call_count = 409, gen = 3
7.24.179.201 D spec common_specu: called impl draft-mtp, hist size = 18907, call_count = 410, gen = 3
7.24.244.555 D spec common_specu: called impl draft-mtp, hist size = 18911, call_count = 411, gen = 3
7.24.310.177 D spec common_specu: called impl draft-mtp, hist size = 18915, call_count = 412, gen = 3
7.24.375.113 D spec common_specu: called impl draft-mtp, hist size = 18919, call_count = 413, gen = 3
7.24.440.309 D spec common_specu: called impl draft-mtp, hist size = 18923, call_count = 414, gen = 3
7.24.495.344 I slot print_timing: id  0 | task 49 | n_gen =   1429, tg =  59.13 t/s, tg_3s =  60.55 t/s
7.24.506.373 D spec common_specu: called impl draft-mtp, hist size = 18927, call_count = 415, gen = 3
7.24.573.016 D spec common_specu: called impl draft-mtp, hist size = 18931, call_count = 416, gen = 3
7.24.638.499 D spec common_specu: called impl draft-mtp, hist size = 18935, call_count = 417, gen = 3
7.24.703.624 D spec common_specu: called impl draft-mtp, hist size = 18939, call_count = 418, gen = 3
7.24.769.503 D spec common_specu: called impl draft-mtp, hist size = 18943, call_count = 419, gen = 3
7.24.838.345 D spec common_specu: called impl draft-mtp, hist size = 18947, call_count = 420, gen = 3
7.24.910.215 D spec common_specu: called impl draft-mtp, hist size = 18951, call_count = 421, gen = 3
7.24.976.263 D spec common_specu: called impl draft-mtp, hist size = 18955, call_count = 422, gen = 3
7.25.042.283 D spec common_specu: called impl draft-mtp, hist size = 18959, call_count = 423, gen = 3
7.25.108.037 D spec common_specu: called impl draft-mtp, hist size = 18963, call_count = 424, gen = 3
7.25.174.726 D spec common_specu: called impl draft-mtp, hist size = 18967, call_count = 425, gen = 3
7.25.240.632 D spec common_specu: called impl draft-mtp, hist size = 18971, call_count = 426, gen = 3
7.25.306.677 D spec common_specu: called impl draft-mtp, hist size = 18975, call_count = 427, gen = 3
7.25.372.091 D spec common_specu: called impl draft-mtp, hist size = 18979, call_count = 428, gen = 3
7.25.438.748 D spec common_specu: called impl draft-mtp, hist size = 18983, call_count = 429, gen = 3
7.25.504.971 D spec common_specu: called impl draft-mtp, hist size = 18987, call_count = 430, gen = 3
7.25.573.482 D spec common_specu: called impl draft-mtp, hist size = 18991, call_count = 431, gen = 3
7.25.639.541 D spec common_specu: called impl draft-mtp, hist size = 18995, call_count = 432, gen = 3
7.25.705.098 D spec common_specu: called impl draft-mtp, hist size = 18999, call_count = 433, gen = 3
7.25.771.084 D spec common_specu: called impl draft-mtp, hist size = 19003, call_count = 434, gen = 3
7.25.836.295 D spec common_specu: called impl draft-mtp, hist size = 19007, call_count = 435, gen = 3
7.25.901.931 D spec common_specu: called impl draft-mtp, hist size = 19011, call_count = 436, gen = 3
7.25.968.768 D spec common_specu: called impl draft-mtp, hist size = 19015, call_count = 437, gen = 3
7.26.034.413 D spec common_specu: called impl draft-mtp, hist size = 19019, call_count = 438, gen = 3
7.26.100.434 D spec common_specu: called impl draft-mtp, hist size = 19023, call_count = 439, gen = 3
7.26.167.777 D spec common_specu: called impl draft-mtp, hist size = 19027, call_count = 440, gen = 3
7.26.232.929 D spec common_specu: called impl draft-mtp, hist size = 19031, call_count = 441, gen = 3
7.26.298.523 D spec common_specu: called impl draft-mtp, hist size = 19035, call_count = 442, gen = 3
7.26.364.172 D spec common_specu: called impl draft-mtp, hist size = 19039, call_count = 443, gen = 3
7.26.429.705 D spec common_specu: called impl draft-mtp, hist size = 19043, call_count = 444, gen = 3
7.26.494.922 D spec common_specu: called impl draft-mtp, hist size = 19047, call_count = 445, gen = 3
7.26.561.525 D spec common_specu: called impl draft-mtp, hist size = 19051, call_count = 446, gen = 3
7.26.627.193 D spec common_specu: called impl draft-mtp, hist size = 19055, call_count = 447, gen = 3
7.26.693.043 D spec common_specu: called impl draft-mtp, hist size = 19059, call_count = 448, gen = 3
